Quarter,GDP.Millions.CV,Household_Expenditure.Millions,Government_Expenditure.Millions,Total_Investment.Millions,Net_Exports.Millions,Unemployment_Rate.Percent,Working_Age_Population.Thousands,Real_Net_Disposable_Income.CV.Millions,Household_Savings_Ratio,Household_Debt_To_Assets,Household_Debt_To_Income,Dwelling.Approvals,Arrivals,Cash_Rate.Percent,3Y_Yield.Percent,5Y_Yield.Percent,10Y_Yield.Percent,JPY.FX,USD.FX,CNY.FX,TWI.Index,House_Prices.Index,ASX_200.Index,ASX_20.Index,Export_Prices.Index
1/12/05,344624,185324,61864,86954,-4201,5.01,16266.84,265944,0.7,19.081689,155.3399345,37638,1643710,0.055,5.326266234,5.36788961,5.417732684,86.97666667,0.740433333,5.981766667,63.43333333,73.5,4775.933333,2452.666667,67.4
1/3/06,345342,187530,61894,86467,-4570,5.05,16348.67,267770,0.4,18.85309748,156.3316731,38545,1577570,0.055,5.458535088,5.427807018,5.390692982,86.09666667,0.735033333,5.907966667,62.26666667,74.3,5103.266667,2718.666667,70.8
1/6/06,345940,190494,62934,86685,-5299,4.86,16396.43,267885,-1.2,19.16172518,160.9772847,39481,1258320,0.056666667,5.515805627,5.52615942,5.55700341,85.6,0.7537,6.037266667,62.73333333,77,5037.8,2809.75,73.3
1/9/06,351068,192662,63227,87479,-2727,4.68,16475.66,271805,1.4,19.19624337,161.7346529,39980,1449370,0.059166667,5.847363699,5.819120083,5.781721877,88.40333333,0.758833333,6.028066667,63.4,78.4,5085.166667,2761.766667,74.7
1/12/06,355642,195378,63712,87605,-4156,4.52,16553.06,276420,1.5,19.08120182,162.1218293,37621,1727920,0.061666667,5.896720779,5.787925685,5.622070707,91.90666667,0.781833333,6.130566667,64.46666667,79.8,5577.45,2886.45,74.8
1/3/07,360899,199478,64169,91008,-5285,4.55,16654.15,282437,0.8,18.915403,161.0288507,38739,1660950,0.0625,6.26030472,6.158609023,5.964833542,94.04333333,0.789,6.113166667,64.76666667,80.5,5997.833333,3105.733333,74.8
1/6/07,363028,201293,63914,94598,-6084,4.33,16727.95,283944,2.2,19.19874812,163.9086443,39076,1317840,0.0625,6.123195359,6.043130215,5.855803323,101.25,0.8333,6.379733333,67.63333333,84.1,6294.2,3278.65,75.1
1/9/07,367065,204747,64664,94374,-6812,4.26,16808.15,287324,1,18.77414192,162.2185221,40402,1502650,0.064166667,6.334962121,6.257227273,6.093477273,99.64333333,0.853766667,6.439333333,68.33333333,87.1,6319.733333,3320.633333,72.9
1/12/07,368884,207233,65435,96829,-8492,4.35,16890.73,289117,1.6,18.93283046,162.3050217,43128,1717580,0.066666667,6.473861383,6.341171555,6.063969212,100.78,0.896566667,6.621466667,69.93333333,90.4,6319.325,3596.575,72.5
1/3/08,373067,208174,66234,99237,-9573,4.09,17006.46,294497,3.2,19.72051613,161.1769916,40507,1709410,0.07125,5.585793651,5.521825397,5.528888889,95.15333333,0.917666667,6.5158,69.66666667,90.8,5507.733333,3035.266667,75
